1,WNT,T1,DRY,RLT,FINE,PASSENGER,Slight,M,CHD,CAR
1,WNT,T5,WET,NLT,FINE,PASSENGER,Slight,M,CHD,CAR
1,WNT,T5,WET,NLT,FINE,PASSENGER,Slight,M,YNU,CAR
2,WNT,T5,DRY,RLT,FINE,PASSENGER,Slight,M,CHD,CAR
2,WNT,T5,DRY,RLT,FINE,DRIVER,Slight,M,SNR,CAR
1,WNT,T1,WET,RLT,FINE,DRIVER,Slight,F,YNU,CAR
1,WNT,T2,WET,RLT,FINE,DRIVER,Slight,M,ADL,CAR
1,WNT,T2,WET,RLT,FINE,PEDESTRAIN,Fatal,M,CHD,CAR
1,WNT,T6,DRY,RLT,FINE,DRIVER,Slight,M,YNU,CAR
2,WNT,T5,DRY,RLT,FINE,DRIVER,Slight,M,SNR,CAR
2,WNT,T3,DRY,DLT,FINE,DRIVER,Slight,M,YNU,CAR
2,WNT,T3,DRY,DLT,FINE,DRIVER,Slight,M,SNR,CAR
3,WNT,T6,WET,RLT,FINE,DRIVER,Slight,M,ADL,CAR
3,WNT,T3,DRY,DLT,FINE,DRIVER,Slight,M,ADL,TWH
1,WNT,T6,DRY,NLT,FINE,DRIVER,Serious,M,YNU,CAR
2,WNT,T4,WET,DLT,FINE,DRIVER,Slight,M,CHD,TWH
2,WNT,T5,WET,RLT,FINE,DRIVER,Slight,M,YNU,CAR
2,WNT,T5,WET,RLT,FINE,DRIVER,Slight,M,YNU,OTH
2,WNT,T2,WET,DLT,FINE,DRIVER,Slight,M,ADL,TWH
2,WNT,T3,WET,DLT,FINE,DRIVER,Serious,M,YNU,CAR
2,WNT,T3,DRY,DLT,FINE,DRIVER,Slight,M,ADL,CAR
2,WNT,T3,WET,DLT,FINE,PASSENGER,Slight,M,CHD,CAR
2,WNT,T5,WET,RLT,FINE,DRIVER,Slight,M,CHD,TWH
2,WNT,T3,DRY,DLT,FINE,DRIVER,Slight,M,ADL,TWH
2,WNT,T6,ICE,RLT,OTH ,DRIVER,Slight,M,YNU,CAR
2,WNT,T2,WET,DLT,FINE,DRIVER,Slight,M,ADL,TWH
2,WNT,T4,WET,DLT,FINE,DRIVER,Slight,M,ADL,BUS
2,WNT,T4,WET,DLT,FINE,PASSENGER,Slight,M,SNR,BUS
1,WNT,T6,WET,RLT,FINE,DRIVER,Slight,M,CHD,CAR
1,WNT,T1,WET,RLT,FINE,DRIVER,Serious,M,ADL,CAR
2,WNT,T5,WET,NLT,FINE,DRIVER,Slight,M,CHD,CAR
2,WNT,T5,WET,NLT,FINE,PASSENGER,Slight,M,CHD,CAR
1,WNT,T2,WET,NLT,FINE,DRIVER,Slight,M,CHD,CAR
2,WNT,T5,DRY,RLT,FINE,DRIVER,Slight,M,YNU,TWH
2,WNT,T4,WET,DLT,FINE,DRIVER,Slight,M,ADL,TRC
2,WNT,T2,WET,NLT,RAIN,DRIVER,Slight,F,YNU,CAR
2,WNT,T6,WET,DUS,FINE,DRIVER,Slight,M,ADL,TWH
2,WNT,T2,ICE,RLT,FINE,DRIVER,Slight,M,ADL,CAR
2,WNT,T3,WET,RLT,RAIN,DRIVER,Slight,M,YNU,TWH
2,WNT,T5,WET,RLT,FINE,DRIVER,Serious,M,CHD,TWH
2,WNT,T5,WET,RLT,RAIN,DRIVER,Serious,M,ADL,TWH
2,WNT,T3,DRY,DLT,FINE,DRIVER,Slight,M,ADL,CAR
3,WNT,T2,WET,DLT,RAIN,PEDESTRAIN,Slight,M,CHD,CAR
2,WNT,T4,WET,DLT,FINE,DRIVER,Slight,M,SNR,TWH
2,WNT,T3,DRY,DLT,FINE,DRIVER,Slight,M,ADL,CAR
1,WNT,T1,WET,RLT,RAIN,DRIVER,Serious,M,ADL,TWH
2,WNT,T4,WET,DLT,FINE,DRIVER,Slight,M,SNR,OTH
2,WNT,T6,WET,NLT,FINE,DRIVER,Slight,F,CHD,CAR
2,WNT,T6,WET,NLT,FINE,DRIVER,Slight,M,YNU,CAR
2,WNT,T6,WET,NLT,FINE,PASSENGER,Slight,M,CHD,CAR
2,WNT,T4,WET,DLT,FINE,DRIVER,Slight,M,CHD,CAR
1,WNT,T5,WET,RLT,RAIN,PASSENGER,Slight,M,SNR,BUS
1,WNT,T5,WET,RLT,RAIN,PASSENGER,Slight,M,YNU,CAR
1,WNT,T5,DRY,DUS,FINE,PEDESTRAIN,Slight,M,YNU,CAR
2,WNT,T5,WET,RLT,FINE,DRIVER,Slight,M,ADL,CAR
1,WNT,T3,WET,DLT,RAIN,PEDESTRAIN,Slight,M,CHD,CAR
2,WNT,T5,WET,RLT,RAIN,DRIVER,Slight,M,YNU,CAR
3,WNT,T2,WET,DLT,RAIN,DRIVER,Slight,M,ADL,CAR
3,WNT,T2,WET,DLT,RAIN,DRIVER,Serious,M,YNU,TWH
2,WNT,T5,WET,RLT,RAIN,DRIVER,Slight,M,YNU,CAR
2,WNT,T5,WET,RLT,RAIN,PASSENGER,Slight,M,YNU,CAR
3,WNT,T5,WET,RLT,FINE,PEDESTRAIN,Serious,M,ADL,CAR
2,WNT,T2,WET,DLT,RAIN,DRIVER,Slight,M,YNU,CAR
2,WNT,T2,WET,DLT,RAIN,DRIVER,Slight,M,YNU,BUS
1,WNT,T3,WET,DLT,SNOW,PASSENGER,Slight,M,SNR,BUS
2,WNT,T3,ICE,DLT,FINE,DRIVER,Serious,M,ADL,CAR
1,WNT,T2,ICE,RLT,OTH ,DRIVER,Slight,M,ADL,BUS
1,WNT,T6,ICE,NLT,FINE,DRIVER,Slight,M,YNU,CAR
1,WNT,T1,ICE,RLT,FINE,DRIVER,Slight,M,ADL,TRC
1,WNT,T5,WET,RLT,RAIN,PEDESTRAIN,Serious,M,CHD,CAR
2,WNT,T5,WET,RLT,OTH ,DRIVER,Slight,F,SNR,CAR
2,WNT,T5,WET,RLT,OTH ,DRIVER,Slight,F,SNR,CAR
2,WNT,T5,DRY,DUS,OTH ,DRIVER,Slight,M,YNU,CAR
2,WNT,T2,WET,DUS,OTH ,DRIVER,Slight,M,ADL,TWH
2,WNT,T2,WET,DUS,FINE,DRIVER,Slight,M,ADL,CAR
2,WNT,T1,WET,RLT,FINE,DRIVER,Serious,M,ADL,TWH
2,WNT,T5,WET,RLT,FINE,DRIVER,Slight,M,ADL,CAR
1,WNT,T1,DRY,RLT,FINE,PASSENGER,Slight,M,YNU,CAR
1,WNT,T3,WET,DLT,OTH ,DRIVER,Slight,M,ADL,TWH
3,WNT,T5,DRY,NLT,FINE,PASSENGER,Slight,M,CHD,CAR
2,WNT,T2,ICE,DLT,FINE,DRIVER,Slight,M,ADL,CAR
2,WNT,T4,WET,DLT,FINE,DRIVER,Slight,M,YNU,CAR
3,WNT,T4,WET,DLT,FINE,DRIVER,Fatal,M,SNR,CAR
1,WNT,T5,WET,RLT,FOG ,PEDESTRAIN,Serious,M,CHD,CAR
2,WNT,T5,WET,RLT,FOG ,DRIVER,Slight,M,YNU,TWH
2,WNT,T5,WET,RLT,FINE,DRIVER,Slight,M,CHD,TWH
3,WNT,T2,WET,RLT,FOG ,PASSENGER,Serious,M,ADL,CAR
2,WNT,T2,WET,DLT,OTH ,DRIVER,Serious,M,ADL,TWH
3,WNT,T3,WET,DLT,FINE,DRIVER,Slight,M,ADL,CAR
3,WNT,T3,WET,DLT,FINE,DRIVER,Slight,M,ADL,CAR
2,WNT,T5,WET,RLT,FINE,DRIVER,Serious,M,CHD,TWH
2,WNT,T5,WET,RLT,FINE,DRIVER,Slight,M,ADL,CAR
2,WNT,T2,WET,RLT,FINE,DRIVER,Serious,M,CHD,TWH
2,WNT,T2,WET,RLT,FINE,DRIVER,Slight,M,ADL,CAR
2,WNT,T6,DRY,RLT,FINE,DRIVER,Slight,M,YNU,CAR
3,WNT,T5,WET,RLT,FINE,DRIVER,Slight,M,ADL,CAR
3,WNT,T5,WET,RLT,FINE,DRIVER,Slight,M,ADL,CAR
2,WNT,T4,WET,DLT,FINE,DRIVER,Slight,M,ADL,CAR
1,WNT,T5,WET,DUS,FINE,DRIVER,Slight,M,CHD,CAR
1,WNT,T5,WET,DUS,FINE,PASSENGER,Slight,M,YNU,CAR
1,WNT,T1,WET,RLT,FINE,DRIVER,Slight,M,YNU,CAR
1,WNT,T1,WET,RLT,FINE,PASSENGER,Slight,M,ADL,CAR
2,WNT,T5,DRY,RLT,FINE,DRIVER,Serious,M,YNU,CAR
1,WNT,T2,DRY,NLT,FINE,PASSENGER,Slight,M,YNU,CAR
1,WNT,T2,DRY,NLT,FINE,PASSENGER,Slight,M,YNU,CAR
2,WNT,T3,DRY,DLT,FINE,DRIVER,Slight,M,YNU,CAR
2,WNT,T3,DRY,DLT,FINE,DRIVER,Slight,M,YNU,CAR
2,WNT,T4,WET,DLT,FINE,DRIVER,Slight,M,ADL,CAR
2,WNT,T3,SNOW,DLT,SNOW,DRIVER,Slight,M,ADL,CAR
1,WNT,T5,SNOW,RLT,SNOW,PASSENGER,Slight,M,ADL,CAR
1,WNT,T3,SNOW,DLT,SNOW,PASSENGER,Slight,M,ADL,CAR
3,WNT,T3,ICE,DLT,SNOW,DRIVER,Slight,M,YNU,CAR
2,WNT,T5,SNOW,RLT,FINE,DRIVER,Slight,M,CHD,CAR
2,WNT,T3,SNOW,DLT,SNOW,DRIVER,Slight,M,ADL,BUS
2,WNT,T3,SNOW,DLT,SNOW,PASSENGER,Slight,M,CHD,BUS
2,WNT,T3,SNOW,DLT,SNOW,PASSENGER,Slight,M,CHD,BUS
2,WNT,T3,SNOW,DLT,FINE,DRIVER,Slight,M,ADL,CAR
1,WNT,T5,ICE,DLT,SNOW,DRIVER,Slight,M,ADL,TWH
2,WNT,T5,WET,RLT,FINE,DRIVER,Slight,F,YNU,CAR
2,WNT,T3,ICE,DLT,SNOW,DRIVER,Slight,M,SNR,CAR
2,WNT,T5,WET,RLT,FINE,DRIVER,Slight,M,CHD,CAR
3,WNT,T3,DRY,DLT,FINE,DRIVER,Slight,M,YNU,CAR
2,WNT,T3,ICE,DLT,SNOW,DRIVER,Slight,M,YNU,CAR
2,WNT,T5,DRY,RLT,FINE,DRIVER,Slight,M,YNU,CAR
2,WNT,T5,DRY,RLT,FINE,DRIVER,Slight,M,YNU,CAR
2,WNT,T2,WET,DLT,FINE,DRIVER,Slight,M,YNU,TWH
1,WNT,T6,ICE,NLT,FINE,DRIVER,Slight,F,YNU,CAR
3,WNT,T5,ICE,RLT,FINE,DRIVER,Slight,M,SNR,CAR
1,WNT,T2,ICE,RLT,FINE,DRIVER,Slight,M,YNU,CAR
2,WNT,T5,DRY,RLT,FINE,DRIVER,Slight,M,SNR,CAR
1,WNT,T5,DRY,DLT,FINE,PASSENGER,Slight,M,ADL,BUS
1,WNT,T5,DRY,DLT,FINE,PASSENGER,Slight,M,ADL,BUS
2,WNT,T5,SNOW,RLT,SNOW,DRIVER,Slight,M,SNR,CAR
1,WNT,T1,ICE,RLT,FINE,DRIVER,Slight,M,YNU,CAR
1,WNT,T1,ICE,RLT,FINE,PASSENGER,Slight,M,YNU,CAR
1,WNT,T1,ICE,RLT,FINE,PASSENGER,Slight,M,YNU,CAR
1,WNT,T2,ICE,RLT,OTH ,DRIVER,Slight,M,ADL,CAR
1,WNT,T2,ICE,RLT,RAIN,DRIVER,Slight,M,ADL,CAR
2,WNT,T4,WET,DLT,FINE,PASSENGER,Slight,M,YNU,TRC
2,WNT,T4,WET,DLT,FINE,DRIVER,Slight,M,ADL,TRC
3,WNT,T3,SNOW,DLT,OTH ,DRIVER,Slight,M,ADL,TRC
3,WNT,T3,SNOW,DLT,OTH ,DRIVER,Slight,M,YNU,CAR
2,WNT,T5,WET,RLT,OTH ,DRIVER,Slight,M,ADL,CAR
2,WNT,T4,WET,DLT,FINE,DRIVER,Slight,M,ADL,TWH
2,WNT,T4,WET,DLT,FINE,DRIVER,Slight,M,ADL,CAR
3,WNT,T5,WET,RLT,FINE,DRIVER,Slight,M,YNU,CAR
2,WNT,T1,ICE,RLT,FINE,DRIVER,Slight,M,ADL,CAR
2,WNT,T2,ICE,DLT,FINE,DRIVER,Slight,M,SNR,CAR
2,WNT,T2,ICE,DLT,FINE,PASSENGER,Slight,M,YNU,OTH
1,WNT,T2,ICE,RLT,SNOW,DRIVER,Slight,M,YNU,CAR
2,WNT,T2,ICE,RLT,OTH ,PASSENGER,Slight,M,YNU,CAR
2,WNT,T2,ICE,RLT,OTH ,DRIVER,Slight,M,ADL,CAR
2,WNT,T6,WET,DUS,FINE,DRIVER,Slight,M,CHD,TWH
2,WNT,T5,WET,RLT,FINE,DRIVER,Serious,F,YNU,CAR
1,WNT,T5,ICE,RLT,FINE,DRIVER,Serious,M,ADL,TWH
2,WNT,T4,WET,DLT,RAIN,DRIVER,Slight,M,ADL,CAR
2,WNT,T6,WET,RLT,RAIN,DRIVER,Slight,M,YNU,TWH
2,WNT,T5,WET,DLT,SNOW,PASSENGER,Slight,M,SNR,CAR
2,WNT,T5,DRY,RLT,FINE,DRIVER,Slight,M,SNR,CAR
2,WNT,T5,DRY,RLT,FINE,DRIVER,Slight,M,CHD,TWH
