Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,Mar,21,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,Motorcycle over 50cc and up to 125cc
2,Mar,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,65,Pedal cycle
2,Mar,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car
2,Mar,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,19,Goods vehicle 3.5 tonnes mgw and under
2,Mar,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,38,Car
2,Mar,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car
1,Mar,5,Dry,Darkness: no street lighting,Fine without high winds,Driver,Serious,Male,28,Car
1,Mar,0,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,31,Car
2,Mar,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Motorcycle over 500cc
2,Mar,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,28,Car
2,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,56,Car
2,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,19,Pedal cycle
2,Mar,22,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,23,Car
2,Mar,22,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,44,Car
2,Mar,22,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,22,Car
4,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,27,Car
4,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,38,Car
4,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,38,Car
2,Mar,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,31,Car
2,Mar,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,17,Motorcycle over 125cc and up to 500cc
2,Mar,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,47,Pedal cycle
1,Mar,18,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,28,Bus or coach (17 or more passenger seats)
2,Mar,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Motorcycle over 50cc and up to 125cc
2,Mar,7,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,58,Car
1,Mar,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,47,Bus or coach (17 or more passenger seats)
2,Mar,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car
2,Mar,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Car
2,Mar,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Car
1,Mar,5,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Serious,Male,21,Car
1,Mar,5,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,22,Other Vehicle 
1,Mar,5,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,22,Other Vehicle 
3,Mar,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car
3,Mar,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,65,Car
2,Mar,20,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,41,Car
2,Mar,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,24,Car
2,Mar,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,19,Motorcycle over 50cc and up to 125cc
1,Mar,15,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,60,Car
2,Mar,10,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Pedal cycle
2,Mar,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,35,Motorcycle over 500cc
2,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,18,Car
2,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,54,Car
2,Mar,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23,Bus or coach (17 or more passenger seats)
2,Mar,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,45,Bus or coach (17 or more passenger seats)
1,Mar,19,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,47,Car
2,Mar,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,42,Car
2,Mar,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,1,Car
2,Mar,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,16,Car
2,Mar,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,33,Car
2,Mar,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,44,Car
1,Mar,13,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,32,Bus or coach (17 or more passenger seats)
2,Mar,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,27,Taxi/Private hire car
4,Mar,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,25,Car
4,Mar,18,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,18,Minibus (8 – 16 passenger seats)
4,Mar,18,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,31,Car
2,Mar,7,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Car
1,Mar,17,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,14,Car
1,Mar,10,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Slight,Male,44,Car
2,Mar,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,51,Taxi/Private hire car
2,Mar,18,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,28,Taxi/Private hire car
2,Mar,18,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,6,Taxi/Private hire car
2,Mar,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,32,Car
2,Mar,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,48,Car
2,Mar,23,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,18,Car
2,Mar,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,24,Car
2,Mar,17,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,22,Car
2,Mar,17,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,5,Car
2,Mar,17,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,2,Car
2,Mar,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,39,Car
1,Mar,8,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,14,Car
1,Mar,8,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,13,Car
2,Mar,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Pedal cycle
3,Mar,10,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver,Slight,Female,75,Car
3,Mar,10,Wet / Damp,Daylight: street lights present,Raining with high winds,Passenger,Slight,Female,49,Car
1,Mar,7,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car
2,Mar,19,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,36,Car
2,Mar,19,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Car
1,Mar,20,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,21,Car
1,Mar,20,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,20,Car
1,Mar,9,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,26,Bus or coach (17 or more passenger seats)
1,Mar,13,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,14,Bus or coach (17 or more passenger seats)
2,Mar,2,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,30,Taxi/Private hire car
2,Mar,2,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,31,Taxi/Private hire car
3,Mar,11,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,47,Car
3,Mar,11,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,22,Car
3,Mar,11,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,11,Car
3,Mar,11,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,55,Car
2,Mar,17,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver,Slight,Male,40,Car
2,Mar,17,Wet / Damp,Daylight: street lights present,Raining with high winds,Passenger,Slight,Female,40,Car
2,Mar,17,Wet / Damp,Daylight: street lights present,Raining with high winds,Passenger,Slight,Male,29,Car
2,Mar,17,Wet / Damp,Daylight: street lights present,Raining with high winds,Passenger,Slight,Male,35,Car
1,Mar,1,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,46,Taxi/Private hire car
1,Mar,13,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,13,Car
2,Mar,4,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,33,Taxi/Private hire car
2,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,17,Motorcycle over 125cc and up to 500cc
1,Mar,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,60,Car
1,Mar,7,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,40,Bus or coach (17 or more passenger seats)
2,Mar,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,17,Pedal cycle
2,Mar,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,13,Pedal cycle
1,Mar,17,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,15,Motorcycle over 50cc and up to 125cc
2,Mar,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Car
2,Mar,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,68,Car
2,Mar,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,12,Pedal cycle
2,Mar,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,20,Car
2,Mar,23,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,35,Taxi/Private hire car
2,Mar,23,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,25,Car
2,Mar,23,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,45,Car
2,Mar,23,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,48,Taxi/Private hire car
2,Mar,23,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,46,Taxi/Private hire car
2,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,22,Car
2,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,31,Car
2,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,9,Car
2,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,1,Car
1,Apr,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,48,Motorcycle over 50cc and up to 125cc
1,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,6,Car
2,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,56,Car
2,Apr,7,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,61,Car
2,Apr,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Pedal cycle
2,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,35,Car
1,Apr,17,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,9,Car
2,Apr,20,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,56,Motorcycle over 125cc and up to 500cc
2,Apr,20,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,30,Motorcycle over 125cc and up to 500cc
1,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,61,Bus or coach (17 or more passenger seats)
2,Apr,22,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,24,Car
2,Apr,22,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,46,Car
2,Apr,22,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,24,Car
2,Apr,22,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,45,Car
2,Apr,22,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,38,Car
2,Apr,23,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,65,Car
2,Apr,23,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,55,Car
4,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,38,Car
4,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Car
1,Apr,17,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,11,Car
2,Apr,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,46,Motorcycle over 500cc
1,Apr,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Car
2,Apr,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,9,Pedal cycle
2,Apr,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,59,Motorcycle over 500cc
2,Apr,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,59,Motorcycle over 500cc
2,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Female,12,Pedal cycle
1,Apr,19,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,7,Car
1,Apr,21,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,20,Car
3,Apr,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Pedal cycle
1,Apr,18,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,26,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,46,Motorcycle over 500cc
2,Apr,19,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,24,Car
2,Apr,19,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,24,Car
2,Apr,19,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,30,Car
2,Apr,19,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,26,Car
2,Apr,19,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,21,Car
1,Apr,1,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Minibus (8 – 16 passenger seats)
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,46,Motorcycle over 500cc
1,Apr,19,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,17,Car
1,Apr,19,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,18,Car
2,Apr,19,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,29,Pedal cycle
3,Apr,16,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,55,Car
2,Apr,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,20,Car
2,Apr,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,18,Car
2,Apr,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Car
2,Apr,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,36,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,56,Car
2,Apr,16,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,72,Car
2,Apr,16,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,28,Car
2,Apr,19,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,39,Pedal cycle
1,Apr,9,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,79,Car
2,Apr,5,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,54,Car
1,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,12,Car
2,Apr,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,50,Car
2,Apr,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,32,Car
2,Apr,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,32,Car
2,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,75,Goods vehicle 3.5 tonnes mgw and under
2,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,27,Car
1,Apr,18,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,23,Car
2,Apr,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,77,Car
2,Apr,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,45,Car
1,Apr,17,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,19,Motorcycle over 500cc
2,Apr,20,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,54,Car
2,Apr,20,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,20,Car
1,Apr,1,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,18,M/cycle 50cc and under
1,Apr,22,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,45,Bus or coach (17 or more passenger seats)
2,Apr,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,59,Car
1,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,60,Bus or coach (17 or more passenger seats)
1,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,10,Bus or coach (17 or more passenger seats)
1,Apr,9,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,37,Car
3,Apr,10,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,45,Car
3,Apr,10,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,45,Car
2,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,59,Car
2,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,20,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car
2,Apr,0,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,21,Car
2,Apr,0,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,50,Car
2,Apr,0,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,49,Car
1,Apr,20,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,9,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,62,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,45,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,17,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,17,Car
2,Apr,23,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,27,Car
2,Apr,23,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,15,Car
2,Apr,23,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,18,Car
2,Apr,23,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,22,Car
1,Apr,18,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,22,Bus or coach (17 or more passenger seats)
1,Apr,18,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,21,Bus or coach (17 or more passenger seats)
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,20,Car
2,Apr,20,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,45,Car
2,Apr,17,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,64,Car
2,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,20,Pedal cycle
2,Apr,19,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,66,Taxi/Private hire car
1,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,6,Car
2,Apr,23,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,63,Car
2,Apr,23,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,49,Car
2,Apr,23,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Male,73,Car
2,Apr,23,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,49,Car
2,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,58,Motorcycle over 500cc
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,38,Pedal cycle
3,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Car
3,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,19,Car
3,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,50,Car
1,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,74,Car
2,Apr,19,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Car
2,Apr,19,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car
2,Apr,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,64,Goods vehicle 3.5 tonnes mgw and under
1,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,8,Bus or coach (17 or more passenger seats)
6,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,28,Car
6,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,37,Car
6,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Car
6,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Car
6,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,46,Car
6,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,28,Car
2,Apr,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,58,Car
1,Apr,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,78,Bus or coach (17 or more passenger seats)
1,Apr,10,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,84,Car
2,Apr,2,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,25,Pedal cycle
2,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,58,Pedal cycle
2,Apr,20,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,44,Car
2,Apr,20,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,30,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,43,Goods vehicle 3.5 tonnes mgw and under
2,Apr,21,Dry,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,18,Car
2,Apr,21,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,18,Car
2,Apr,21,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,16,Car
2,Apr,21,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,17,Car
1,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,35,Car
2,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,35,Car
1,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,32,Goods vehicle 7.5 tonnes mgw and over
2,Apr,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,64,Car
2,Apr,9,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,38,Car
2,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,41,Car
1,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,12,Car
1,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,6,Car
1,Apr,18,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,12,Car
2,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,25,Car
2,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,36,Car
2,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,35,Car
2,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,22,Car
2,Apr,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,77,Car
3,Apr,18,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,6,Pedal cycle
2,Apr,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,31,Car
2,Apr,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,61,Pedal cycle
2,Apr,10,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,53,Car
1,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,10,Car
2,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,53,Goods vehicle 3.5 tonnes mgw and under
2,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,15,Car
2,Apr,8,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,14,Car
2,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,63,Car
2,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,19,Car
2,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,21,Car
2,Apr,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,18,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,28,Car
2,Apr,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,28,Car
2,Apr,12,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,29,Pedal cycle
1,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,19,Motorcycle over 50cc and up to 125cc
1,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,22,Motorcycle over 50cc and up to 125cc
1,Apr,16,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,66,Motorcycle over 50cc and up to 125cc
