Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,Jan,15,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,Bus or coach (17 or more passenger seats)
2,Jan,15,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,79,Bus or coach (17 or more passenger seats)
1,Jan,7,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,17,M/cycle 50cc and under
3,Jan,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,23,Car
3,Jan,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,25,Car
3,Jan,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,54,Car
2,Jan,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,48,Car
1,Jan,23,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,Car
1,Jan,2,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,46,Car
1,Jan,2,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,44,Car
2,Jan,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Car
2,Jan,13,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,13,Car
2,Jan,18,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,20,Car
2,Jan,18,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,18,Car
1,Jan,1,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,20,Taxi/Private hire car
1,Jan,7,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,20,Car
1,Jan,18,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,7,Car
2,Jan,19,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,23,Motorcycle over 50cc and up to 125cc
2,Jan,12,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,46,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw
2,Jan,6,Wet / Damp,Darkness: no street lighting,Raining without high winds,Driver,Slight,Female,25,Car
2,Jan,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,20,Pedal cycle
2,Jan,21,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,38,Pedal cycle
2,Jan,18,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,37,Car
2,Jan,7,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,38,Car
2,Jan,8,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,26,Pedal cycle
2,Jan,17,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,16,M/cycle 50cc and under
2,Jan,17,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Serious,Male,37,Pedal cycle
2,Jan,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,23,Car
2,Jan,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,56,Car
1,Jan,1,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,53,Car
2,Jan,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Pedal cycle
2,Jan,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Female,53,Car
2,Jan,19,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,43,Car
4,Jan,7,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,16,Car
2,Jan,13,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,75,Pedal cycle
2,Jan,9,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,Car
2,Jan,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,36,Car
1,Jan,0,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Serious,Male,38,Motorcycle over 500cc
2,Jan,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,25,Bus or coach (17 or more passenger seats)
2,Jan,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,53,Bus or coach (17 or more passenger seats)
1,Jan,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Motorcycle over 50cc and up to 125cc
1,Jan,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,33,Car
2,Jan,12,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,90,Other Vehicle 
1,Jan,11,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,65,Bus or coach (17 or more passenger seats)
2,Jan,21,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Female,18,Car
2,Jan,21,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver,Slight,Male,23,Car
2,Jan,21,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,17,Car
2,Jan,21,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,17,Car
1,Jan,15,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,69,Bus or coach (17 or more passenger seats)
4,Jan,1,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,19,Car
2,Jan,10,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,39,Goods vehicle 3.5 tonnes mgw and under
2,Jan,15,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,20,Car
2,Jan,15,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car
1,Jan,17,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,68,Bus or coach (17 or more passenger seats)
1,Jan,16,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,21,Car
1,Jan,17,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,23,Car
2,Jan,18,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,47,Car
1,Jan,15,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,30,Car
1,Jan,8,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,12,Car
2,Jan,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,23,Car
2,Jan,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,84,Bus or coach (17 or more passenger seats)
